line,station,year,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),Total(on),Total(off),X(WGS),Y(WGS)
분당선,수원,2016.0,575.4166666666666,4.416666666666667,4915.166666666667,640.5,9347.833333333334,3271.25,30867.166666666668,7421.5,36193.666666666664,13778.916666666666,18492.25,10085.583333333334,11261.75,6644.75,11357.333333333334,6585.0,11953.583333333334,8787.083333333334,12779.916666666666,9144.583333333334,12210.666666666666,8270.25,13841.75,8509.25,16593.5,12409.75,19790.0,15583.666666666666,22619.833333333332,24439.666666666668,18253.166666666668,21234.333333333332,17369.0,12863.333333333334,15963.833333333334,10432.5,14147.583333333334,8977.083333333334,7009.083333333333,5332.75,159.41666666666666,2887.25,0.25,4.5,0.0,0.0,0.0,0.0,197307.91666666666,307142.75,37.26597399999998,126.99987400000008
분당선,수원시청,2016.0,291.6666666666667,4.5,4485.5,787.4166666666666,8727.75,4514.916666666667,19344.833333333332,12996.916666666666,22378.166666666668,35515.833333333336,12083.916666666666,28085.583333333332,10510.166666666666,14029.25,12002.666666666666,16686.333333333332,14258.5,15580.666666666666,15295.916666666666,17719.666666666668,15742.5,15994.0,17647.0,16523.75,20926.5,16762.666666666668,23332.916666666668,24811.666666666668,32596.416666666668,33910.0,21398.416666666668,34039.75,21829.0,21341.25,19143.5,17610.5,17133.833333333332,12993.0,7638.25,11400.416666666666,551.0,2706.4166666666665,0.5,3.5833333333333335,0.0,0.0,0.0,0.0,354018.0833333333,319043.25,37.261911,127.03073599999999
분당선,신갈,2016.0,56.75,0.08333333333333333,2528.5,256.1666666666667,7045.416666666667,1140.4166666666667,19189.916666666668,2445.0833333333335,20885.416666666668,6014.5,12374.583333333334,4360.583333333333,9411.5,4117.416666666667,8398.0,4164.166666666667,8298.916666666666,5041.916666666667,7717.0,5631.583333333333,6590.0,6868.75,6449.916666666667,7563.0,6883.916666666667,7859.25,7068.166666666667,10560.166666666666,6337.666666666667,13953.166666666666,3587.0833333333335,14094.916666666666,2414.0,10976.833333333334,2098.25,9817.916666666666,1654.3333333333333,9565.25,721.3333333333334,7727.0,80.41666666666667,1575.6666666666667,0.0,1.5,0.0,0.0,0.0,0.0,133735.33333333334,141750.33333333334,37.28610200000001,127.11131299999995
분당선,압구정로데오,2016.0,200.25,1.5,1809.3333333333333,664.3333333333334,3032.75,8747.75,5390.416666666667,21739.916666666668,8053.25,64494.416666666664,7356.583333333333,83792.5,8207.833333333334,38346.166666666664,12059.833333333334,28870.5,15402.833333333334,25728.083333333332,17313.083333333332,27286.25,21167.75,26739.75,27010.0,25925.083333333332,31804.25,24944.833333333332,39514.166666666664,28039.083333333332,62382.666666666664,33539.416666666664,56525.75,27508.75,48774.166666666664,11819.25,35577.5,7701.25,27752.833333333332,6315.666666666667,10743.5,3749.25,329.5833333333333,679.3333333333334,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,496633.75,442224.75,37.527381,127.040534
분당선,야탑,2016.0,210.0,6.583333333333333,7543.75,3617.3333333333335,19033.25,15268.416666666666,58197.0,38925.333333333336,70491.08333333333,94967.83333333333,50458.75,57667.416666666664,40924.666666666664,38939.666666666664,41813.0,39425.916666666664,44338.75,44057.083333333336,46066.583333333336,45336.75,44643.0,48819.666666666664,46825.833333333336,46895.916666666664,52706.083333333336,54440.166666666664,61659.0,59985.416666666664,88207.58333333333,79313.33333333333,55989.416666666664,74804.08333333333,41850.833333333336,47884.833333333336,39399.0,40298.666666666664,33119.5,37226.75,14095.75,24193.0,914.4166666666666,5065.0,0.9166666666666666,7.416666666666667,0.9166666666666666,3.25,0.0,0.0,897149.8333333334,860295.0833333334,37.411184999999996,127.128715
분당선,영통,2016.0,70.58333333333333,1.0833333333333333,2290.5833333333335,1355.9166666666667,6403.416666666667,4022.8333333333335,16504.583333333332,9940.25,18552.833333333332,28087.0,11814.333333333334,20627.25,10467.166666666666,12689.0,11536.0,11925.416666666666,12829.083333333334,12701.083333333334,13784.166666666666,14768.333333333334,13591.166666666666,12882.25,15458.666666666666,13704.0,19085.083333333332,15594.0,23591.666666666668,18450.583333333332,27669.666666666668,24663.666666666668,16659.083333333332,21078.333333333332,14012.916666666666,16592.5,15137.333333333334,14337.0,15628.25,13508.333333333334,6842.75,8531.666666666666,898.6666666666666,2804.6666666666665,0.75,2.25,0.0,0.0,0.0,0.0,278267.4166666667,274774.1666666667,37.251568000000006,127.07139400000004
분당선,오리,2016.0,611.0833333333334,3.25,4438.75,398.4166666666667,15317.333333333334,7662.5,42144.0,16600.25,49686.083333333336,36092.083333333336,32466.25,24082.833333333332,25623.416666666668,15848.166666666666,23926.416666666668,15203.583333333334,23735.833333333332,17390.666666666668,23851.75,17624.666666666668,22839.166666666668,19179.666666666668,23839.166666666668,18667.833333333332,25314.0,22000.666666666668,29848.416666666668,22668.833333333332,39199.0,32041.0,20905.333333333332,34027.666666666664,15594.0,23491.0,16874.166666666668,20354.833333333332,13101.833333333334,19177.916666666668,4883.916666666667,12946.166666666666,234.16666666666666,3987.4166666666665,0.9166666666666666,3.8333333333333335,0.0,0.0,0.0,0.0,379453.25,455839.9166666667,37.33982400000001,127.10894200000001
분당선,이매,2016.0,78.25,0.6666666666666666,2117.4166666666665,865.1666666666666,5366.916666666667,3006.5,14755.083333333334,8656.083333333334,16856.416666666668,14346.25,11229.833333333334,8731.416666666666,9464.666666666666,6980.833333333333,9352.166666666666,6247.666666666667,10091.666666666666,7450.166666666667,8918.583333333334,7971.166666666667,8824.583333333334,8348.833333333334,8025.833333333333,8748.833333333334,10623.833333333334,9517.25,13684.333333333334,11425.916666666666,12326.0,14319.0,7039.666666666667,14087.833333333334,5069.75,8755.166666666666,4983.333333333333,8108.833333333333,6702.416666666667,9035.333333333334,2895.75,5870.333333333333,97.25,1246.3333333333333,0.5,2.5,0.0,0.0,0.0,0.0,163722.08333333334,170442.0,37.39610399999997,127.12827000000009
분당선,정자,2016.0,402.25,3.6666666666666665,3889.3333333333335,1001.9166666666666,10557.583333333334,8931.333333333334,31727.333333333332,25420.083333333332,40838.083333333336,73604.16666666667,27324.416666666668,43832.666666666664,21036.833333333332,24292.5,21781.75,20789.833333333332,23696.5,21496.583333333332,24602.5,22310.25,24174.333333333332,23157.416666666668,25399.75,23628.25,28016.833333333332,26908.583333333332,36171.666666666664,33139.5,56245.666666666664,48562.416666666664,36693.083333333336,47968.666666666664,26400.333333333332,30147.75,27879.416666666668,26493.083333333332,27871.5,25044.916666666668,11271.416666666666,16832.583333333332,1489.8333333333333,4908.916666666667,0.75,5.583333333333333,0.0,0.0,0.0,0.0,548480.6666666666,509084.9166666667,37.36706000000002,127.10810500000002
분당선,죽전,2016.0,1363.1666666666667,2.5,4857.5,737.5833333333334,15866.083333333334,8579.583333333334,48205.333333333336,18431.75,49845.5,36825.5,31576.833333333332,33892.5,25302.0,24885.583333333332,24612.083333333332,25764.083333333332,25358.416666666668,26161.583333333332,25944.25,29263.833333333332,25609.416666666668,29059.25,28676.166666666668,30925.5,32865.666666666664,33510.333333333336,38212.083333333336,41454.666666666664,43118.083333333336,50079.333333333336,32269.583333333332,55510.583333333336,25523.0,38882.0,31477.666666666668,33839.666666666664,15620.666666666666,33157.166666666664,5528.416666666667,26164.25,124.75,12306.083333333334,0.25,14.666666666666666,0.0,0.0,0.0,0.0,589448.0,532609.75,37.324752999999994,127.107395
