stopNo,x,y
01279,126.9558882973,37.6130503244
01286,126.9597921957,37.5994435122
01287,126.9581941404,37.5995718125
01288,127.0065911394,37.5724174899
01289,127.0231182769,37.5743860974
01291,126.9872214307,37.5684458702
01292,127.0227870051,37.5721307298
01293,126.978368,37.610967
01294,126.9855365486,37.5763329308
01295,126.9848289423,37.5763382485
01296,126.9890031166,37.5772280879
01500,126.9668167021,37.605681218
01501,126.9816468946,37.5882276807
01502,126.964246771,37.5820791626
01503,126.9928636796,37.5909483783
01504,126.996704891,37.5876532654
01505,126.9662183105,37.5664160731
01506,127.0087215681,37.5804037213
01507,126.9893670844,37.5814109836
01508,126.9648837454,37.6048011982
01509,126.9815691643,37.5865984991
01510,126.966603478,37.5809967425
01511,126.9932227051,37.5903095275
01512,126.9972902593,37.5890715947
01513,126.9652007897,37.6049806084
01514,126.9652272769,37.5675295356
01515,126.9896320737,37.5892576959
01516,126.9893714358,37.582659895
01517,126.9614907597,37.6042522792
01518,126.9819071619,37.5842638281
01519,126.9687504304,37.5804530718
01520,126.9936043615,37.5897914226
01521,126.9988619666,37.5897456349
01522,126.9622629001,37.6070621164
01523,126.9640686009,37.5687871134
01524,127.0127581151,37.5812647965
01525,126.9859476734,37.5875948053
01526,126.9878088426,37.583080553
01527,126.9591855785,37.6069799945
01528,126.997541081,37.571747236
01529,126.9812510491,37.581813662
01530,126.9695411172,37.5794963204
01531,126.9952543092,37.5885110529
01532,126.9998516643,37.5872532276
01533,126.9624312007,37.6079803769
01534,126.9628351888,37.5700050081
01535,127.014556281,37.5821062067
01536,126.9852900569,37.5862106518
01537,126.986965299,37.583092177
01538,126.9577443332,37.6079283311
01539,126.9933305456,37.5706349329
01540,126.9795533717,37.5792551846
01541,126.9711466491,37.5793687689
01542,126.996518051,37.5877370613
01543,127.0006137149,37.5860376565
01544,126.9637921715,37.6089539753
01545,126.9621148375,37.5707022242
01546,127.0161855253,37.5817743934
01547,126.9850311776,37.5841056738
01548,126.984994076,37.5827909789
01549,126.9567768927,37.6082046142
01550,126.9921806628,37.5710729861
01551,126.9793377561,37.576950157
01552,126.9722764647,37.5766774815
01553,126.964110466,37.6112770717
01554,126.9597453483,37.5728784775
01555,127.01700714,37.5800189539
01556,126.9849422317,37.5815997311
01557,126.9586668762,37.6069014195
01558,126.9906200153,37.5760892484
01559,126.9765789285,37.5724108452
01560,127.0019214153,37.5812159103
01561,126.965463701,37.6120100581
01562,126.9607207234,37.5738474794
01563,127.0156926979,37.5803534405
01564,126.9848497239,37.5799390098
01565,126.9579797248,37.6062686142
01566,126.997511497,37.5762373738
01567,126.9657790521,37.6134825236
01568,126.9618603707,37.5746480221
01569,127.0149635738,37.580511226
01570,126.9850220301,37.5788991733
01571,126.9574922002,37.6051519935
01572,127.0020107348,37.5764698644
01573,126.9676873462,37.6143102577
01574,126.962001046,37.5763060751
01576,126.9856755706,37.5775584314
01577,126.9569839726,37.6046102563
01578,126.9995029662,37.5781188768
01579,127.0024794898,37.5775673842
01580,126.9685386165,37.6129345305
01581,126.9628880463,37.5752728058
01582,127.0153885503,37.5769032044
01583,126.986517218,37.5751598262
01584,126.9573354115,37.6040255786
01585,127.002256557,37.5811483226
01586,126.9690205751,37.6116055569
01587,126.9634445669,37.5739763092
01589,126.9872918609,37.5736776169
01590,126.9575011241,37.6034020863
01591,126.9974309648,37.5805553988
01592,127.0019407215,37.5834542178
01593,126.9699479367,37.6124059606
