,line,stopno,on,off
2941,750A,3008,289.55555555555554,71.74074074074075
2942,502,3008,195.11111111111111,42.074074074074076
2943,N15,3008,5.111111111111111,3.0
2944,152,3008,368.1111111111111,107.74074074074075
2945,750B,3008,277.14814814814815,69.77777777777777
2946,751,3008,180.25925925925927,104.22222222222223
2947,605,3008,202.4814814814815,128.66666666666666
2948,501,3008,445.22222222222223,63.22222222222222
2949,150,3008,368.4074074074074,138.92592592592592
2950,151,3008,320.0,112.81481481481481
2951,506,3008,324.0,33.96296296296296
2952,100,3008,124.92592592592592,64.85185185185185
2953,504,3008,342.22222222222223,59.25925925925926
2954,507,3008,230.44444444444446,48.111111111111114
2955,752,3008,142.11111111111111,126.88888888888889
2956,500,3008,303.037037037037,55.55555555555556
2957,605,3009,138.77777777777777,227.4814814814815
2958,501,3009,132.59259259259258,384.74074074074076
2959,150,3009,276.44444444444446,272.25925925925924
2960,100,3009,119.33333333333333,263.1111111111111
2961,162,3009,257.85185185185185,260.962962962963
2962,7016,3009,510.3703703703704,284.74074074074076
2963,750B,3009,291.4074074074074,279.0
2964,500,3009,88.18518518518519,265.037037037037
2965,152,3009,226.62962962962962,326.037037037037
2966,506,3009,54.51851851851852,277.18518518518516
2967,507,3009,150.33333333333334,200.25925925925927
2968,750A,3009,331.18518518518516,270.8888888888889
2969,N15,3009,9.407407407407407,4.481481481481482
2970,752,3009,511.6666666666667,233.03703703703704
2971,502,3009,45.925925925925924,237.25925925925927
2972,421,3009,323.18518518518516,885.5555555555555
2973,751,3009,452.18518518518516,175.37037037037038
2974,151,3009,279.2962962962963,349.0
2975,1711,3009,700.0370370370371,265.4074074074074
2976,504,3009,86.5925925925926,352.1111111111111
2977,750A,3010,175.88888888888889,223.96296296296296
2978,502,3010,199.55555555555554,51.592592592592595
2979,N15,3010,7.092592592592593,7.314814814814815
2980,152,3010,300.5925925925926,181.55555555555554
2981,750B,3010,173.59259259259258,207.22222222222223
2982,421,3010,808.074074074074,153.77777777777777
2983,751,3010,115.03703703703704,269.1111111111111
2984,605,3010,252.37037037037038,209.96296296296296
2985,501,3010,268.4074074074074,95.81481481481481
2986,150,3010,199.74074074074073,222.37037037037038
2987,151,3010,222.44444444444446,183.44444444444446
2988,506,3010,226.59259259259258,48.0
2989,100,3010,185.92592592592592,106.55555555555556
2990,504,3010,282.9259259259259,85.77777777777777
2991,507,3010,162.33333333333334,82.37037037037037
2992,752,3010,136.44444444444446,316.1111111111111
2993,500,3010,220.2962962962963,85.22222222222223
2994,504,3011,57.74074074074074,157.77777777777777
2995,501,3011,101.66666666666667,168.33333333333334
2996,150,3011,191.14814814814815,129.14814814814815
2997,100,3011,83.22222222222223,92.70370370370371
2998,162,3011,119.25925925925925,108.66666666666667
2999,7016,3011,153.8148148148148,94.77777777777777
3000,750B,3011,161.66666666666666,108.18518518518519
3001,500,3011,59.51851851851852,124.62962962962963
3002,152,3011,170.0,136.62962962962962
3003,506,3011,36.333333333333336,115.37037037037037
3004,507,3011,94.85185185185185,82.48148148148148
3005,750A,3011,183.37037037037038,121.37037037037037
3006,N15,3011,2.9074074074074074,2.388888888888889
3007,752,3011,274.3333333333333,91.96296296296296
3008,502,3011,22.962962962962962,89.22222222222223
3009,421,3011,204.62962962962962,239.07407407407408
3010,751,3011,238.62962962962962,92.29629629629629
3011,151,3011,151.1851851851852,123.07407407407408
3012,1711,3011,238.37037037037038,107.85185185185185
3013,505,3011,54.925925925925924,204.07407407407408
3014,504,3012,127.88888888888889,48.7037037037037
3015,501,3012,123.07407407407408,60.148148148148145
3016,150,3012,116.51851851851852,143.37037037037038
3017,100,3012,85.25925925925925,74.29629629629629
3018,503,3012,69.25925925925925,14.518518518518519
3019,162,3012,161.74074074074073,103.44444444444444
3020,7016,3012,159.66666666666666,209.85185185185185
3021,750B,3012,72.37037037037037,126.55555555555556
3022,500,3012,92.85185185185185,41.81481481481482
3023,152,3012,130.88888888888889,126.03703703703704
3024,506,3012,95.03703703703704,27.925925925925927
3025,507,3012,82.74074074074075,54.888888888888886
3026,750A,3012,76.70370370370371,137.1851851851852
3027,N15,3012,2.259259259259259,5.537037037037037
3028,202,3012,70.85185185185185,89.33333333333333
3029,752,3012,78.44444444444444,225.92592592592592
3030,502,3012,107.03703703703704,22.48148148148148
3031,421,3012,283.5925925925926,129.66666666666666
3032,751,3012,57.333333333333336,157.96296296296296
3033,151,3012,98.37037037037037,117.14814814814815
3034,1711,3012,203.88888888888889,376.18518518518516
3035,505,3012,130.4814814814815,29.59259259259259
3036,503,3110,185.22222222222223,33.25925925925926
