adm_cd2,total_0,total_1,total_2,total_3,total_4,total_5,total_6,total_7,total_8,total_9,total_10,total_11,total_12,total_13,total_14,total_15,total_16,total_17,total_18,total_19,total_20,total_21,total_22,total_23,male_0,male_1,male_2,male_3,male_4,male_5,male_6,male_7,male_8,male_9,male_10,male_11,male_12,male_13,male_14,male_15,male_16,male_17,male_18,male_19,male_20,male_21,male_22,male_23,female_0,female_1,female_2,female_3,female_4,female_5,female_6,female_7,female_8,female_9,female_10,female_11,female_12,female_13,female_14,female_15,female_16,female_17,female_18,female_19,female_20,female_21,female_22,female_23,total_avg,male_avg,female_avg,gu,lat,lng
11680521,38675.82538888889,38228.06046296297,38292.85423333333,37998.67247777776,38169.46319629629,37517.72246666666,37849.49913703704,39541.58088888889,45063.44436666666,50599.39151111111,53417.10825555556,54859.88397407407,55624.41442222223,56589.37447407406,56839.38437407408,56795.6253962963,56667.98461851851,56375.651140740745,54901.65157777778,51031.30541481483,48379.246881481486,45615.70941111111,42638.80444074074,40075.334692592594,18819.020299999996,18482.932111111113,18435.766825925926,18199.501737037037,18241.728788888886,17856.943403703703,18162.682933333333,19363.216170370375,22027.74006666667,24299.561851851853,25610.733377777775,26293.407496296302,26790.15572962963,27305.43334074074,27497.999203703697,27659.120588888884,27653.79442222222,27545.438122222222,27175.486637037033,25624.470744444447,24449.185237037036,23036.594033333335,21391.32594074073,19748.86921481482,19856.80487777778,19745.12835925926,19857.087703703703,19799.17065185185,19927.734496296296,19660.778885185187,19686.816192592592,20178.364466666666,23035.704388888887,26299.829466666662,27806.374922222225,28566.47657777778,28834.259133333337,29283.940840740743,29341.38483333333,29136.50482222222,29014.19017777778,28830.21269259259,27726.16491851852,25406.834674074078,23930.061792592594,22579.115196296294,21247.478396296297,20326.465748148148,47156.16638348766,22986.296178240736,24169.87017561728,11680,37.51207794,127.0266642
11680531,34090.19347777778,33941.5638962963,33565.63857777777,33219.727688888895,33015.14174814815,32857.11095185186,33459.229074074065,35846.53904074074,44407.67872222221,52674.60110740741,57043.14693703704,60239.1895925926,62724.33714074076,63751.21118148149,63638.51232592592,62489.28681481481,61774.72518148149,60319.2213037037,55029.73225555556,49293.82609259259,46029.42876666667,42660.446370370366,39248.83844814814,35055.671496296294,17021.314362962963,16847.460344444444,16594.78215925926,16357.494062962962,16211.841518518519,16041.289525925926,16423.30423703704,17986.558455555558,22457.06362962963,25924.856907407404,27985.06885185185,29478.891255555558,30768.377733333335,31204.768096296295,31258.934555555552,30845.714707407406,30568.404711111114,29917.703477777777,27459.446277777777,24852.50677777778,23204.65063703704,21542.647870370372,19808.953822222218,17660.953007407406,17068.879218518516,17094.103725925925,16970.856385185187,16862.233277777777,16803.300366666666,16815.821418518517,17035.924903703708,17859.980596296296,21950.61504074074,26749.743829629628,29058.077918518517,30760.298366666666,31955.95951111111,32546.4428,32379.577585185187,31643.57210000001,31206.320188888887,30401.518011111115,27570.28576666666,24441.31932962963,22824.77838518519,21117.798544444446,19439.884274074077,17394.718540740745,46932.29159135802,23267.62445771605,23664.667086882717,11680,37.51518804,127.035922
11680545,37249.22923703705,36001.907755555556,34969.72955925926,34300.37485925925,33961.024651851854,34523.86865925926,35948.820859259264,38638.84425185185,45010.96184814816,51666.70957037038,55706.376251851856,59152.978388888885,61790.95515925927,63350.70181851849,63629.00822962964,63445.151596296295,63001.72631851852,62807.87716296298,60649.84290370372,55969.17283333332,52279.0187888889,48695.912203703694,44042.25117407408,39685.3139111111,17802.603325925927,17123.796066666666,16543.2071,16131.129618518517,15839.919451851853,16184.552322222222,17018.89631111111,18318.992866666667,20690.095648148148,22885.144699999997,24268.68461481481,25487.96463333333,26503.664999999997,27133.58698148148,27425.70798518518,27557.01556666667,27631.85251481482,28089.275514814814,27564.067614814812,25815.063122222222,24465.584374074075,22994.606607407404,21053.04148148148,19127.47373703704,19446.62606296296,18878.111655555556,18426.522814814816,18169.24525185185,18121.105381481484,18339.316600000002,18929.924748148147,20319.851551851854,24320.86608148148,28781.56473703704,31437.691370370365,33665.01368518519,35287.29045185185,36217.11481851852,36203.30068888889,35888.135788888896,35369.87388148148,34718.601640740744,33085.77563703704,30154.109285185186,27813.4340925926,25701.305692592592,22989.209714814813,20557.83999259259,49019.90658302469,22235.663631635805,26784.24298441358,11680,37.52922415,127.03376329999999
11680565,36771.8733925926,35637.32691111111,34835.30561851852,34292.87796666666,34157.933122222224,34515.396499999995,36246.461707407405,39024.01568148149,44656.25927037038,49922.034725925936,53253.78169629628,55402.00158888888,56456.36181481481,57513.992662962955,57569.61234074073,57072.74894074075,56298.6438148148,54794.4812888889,52373.77335185185,48504.551270370364,45741.28654814814,43368.15382962963,40546.7443,38308.873485185184,17281.94844814815,16655.86418888889,16213.681814814816,15908.253070370369,15785.893266666664,15986.500348148147,16969.893125925926,18475.63637407407,20599.788214814816,22374.230570370368,23710.4942037037,24479.190837037037,24806.949248148154,25296.659492592593,25372.848703703705,25350.8204962963,25208.028677777773,24713.31048888889,24062.229670370376,22718.552174074077,21608.415459259253,20603.12824814815,19314.4885,18154.917022222224,19489.924866666664,18981.462977777777,18621.623885185185,18384.624962962967,18372.040114814812,18528.896262962964,19276.56842962963,20548.3789962963,24056.47105925926,27547.803907407408,29543.287792592586,30922.81075925926,31649.41225925926,32217.33281111111,32196.76361111111,31721.92897037037,31090.614903703703,30081.17097777778,28311.54374074074,25785.998892592594,24132.871314814816,22765.0255962963,21232.255618518513,20153.956481481484,45719.35382623456,20902.155110185184,24817.19871635803,11680,37.52492796,127.0521936
11680580,21390.034703703706,20432.524144444447,19893.270029629624,19564.6633,19575.420785185186,20528.14612592592,22821.689237037037,28745.03855555555,42384.4344,55171.57838888888,64473.824592592595,73574.54988518519,80418.5148962963,84454.65086666668,86419.31764814816,85868.39906296298,83276.01240740743,78272.14445555555,69668.47390740743,59212.37855185186,49237.625925925924,39690.67889259259,30596.46942592592,23224.708059259257,11036.509500000002,10473.19415185185,10128.266796296299,9911.98801851852,9867.72698148148,10308.248418518519,11758.614462962963,15447.107822222224,21982.60931481481,27665.0646962963,31302.167640740743,34565.313951851844,37033.1442962963,38348.54873703703,38951.95499629629,38730.957911111116,37733.52877777777,35705.984048148144,32012.132559259262,27503.776237037036,23308.2754,19311.032622222225,15432.265433333336,12060.259196296296,10353.52534074074,9959.330033333334,9765.003348148148,9652.675359259258,9707.693829629628,10219.897096296298,11063.074685185184,13297.930677777778,20401.825100000002,27506.513666666666,33171.657274074074,39009.23600740741,43385.370533333335,46106.10207037036,47467.3626962963,47137.44111111111,45542.4836925926,42566.160355555556,37656.34133333332,31708.602585185185,25929.35034074074,20379.646240740738,15164.203907407405,11164.448403703704,49120.60617700617,23357.444665432096,25763.161487037036,11680,37.51622927,127.0593678
11680590,38438.84298148147,37991.89251481482,37795.39361481481,37617.05032962962,37617.34766296296,37730.56115555556,38712.654311111124,40402.968559259265,46553.564411111125,51091.42506296296,52403.429451851865,51529.96803703703,51598.58698518518,51891.15432222222,51924.112025925926,51550.224714814816,50553.25898148148,48473.487548148136,44575.68665185184,40550.59427037038,39255.63357777778,38470.31723703704,37820.31762592592,38984.25035185185,18659.062422222218,18395.375188888887,18261.64429259259,18145.84836296296,18121.594892592588,18136.983396296295,18708.14547777778,19949.34677037037,23068.61994814815,24978.672562962965,25687.894648148147,25187.11596666667,25339.49225185185,25575.3485,25634.080248148148,25497.8205,25146.168340740744,24181.73277037037,22344.350666666665,20293.808222222226,19530.276918518517,19093.301540740737,18668.42764814815,19025.347025925927,19779.78024814815,19596.51721111111,19533.749470370367,19471.20211111111,19495.753029629628,19593.5779962963,20004.508618518517,20453.621755555552,23484.94446296297,26112.75235925926,26715.53485925926,26342.852022222218,26259.094429629633,26315.8058037037,26290.03199259259,26052.404059259257,25407.090592592594,24291.75505925926,22231.335874074073,20256.78604074074,19725.356796296295,19377.015822222224,19151.88976296296,19958.903222222223,43897.19676604939,21567.93577345679,22329.26098333333,11680,37.51141334,127.0484812
11680600,27435.57035185185,27486.260348148146,27442.003085185184,27461.934959259263,27402.04181111111,27559.64870740741,27411.23671111111,26940.737114814812,25569.971329629636,25408.759007407407,25808.117444444448,26220.36222962963,26904.870670370365,27726.24387777778,28307.844640740746,29559.271944444437,31207.086592592594,32227.64398888889,32370.365848148147,32082.280903703697,31289.573962962968,30959.0287,28319.26303703704,27685.7946888889,13418.98484814815,13482.222785185184,13471.125622222222,13475.32024074074,13448.150229629628,13514.561040740742,13361.187218518518,12933.707314814816,11921.699207407406,11564.507870370371,11596.799444444441,11675.511862962961,11889.551874074072,12221.50301111111,12392.3041,12964.510437037035,13711.217618518518,14391.72405925926,14772.884844444445,14897.135240740741,14732.823733333335,14759.844996296295,13624.70621111111,13525.001240740738,14016.585951851852,14004.037325925925,13970.877577777777,13986.614614814815,13953.8914,14045.08802962963,14050.049237037038,14007.029859259257,13648.272385185186,13844.250940740738,14211.318018518516,14544.850055555555,15015.318855555557,15504.74118888889,15915.54057037037,16594.761396296297,17495.868881481478,17835.92009259259,17597.481055555556,17185.145514814816,16556.7501962963,16199.1835,14694.557151851852,14160.793096296295,28366.079664814813,13239.457710493827,15126.621954012347,11680,37.49327736,127.05902009999998
11680610,38011.30826666667,37435.530048148146,37331.40007407407,37321.58135925926,37531.72921481482,37725.37364444445,39552.07162962964,43750.73104074074,53899.46742962963,61864.82310740742,65836.11462962965,67859.42107777776,68658.45194074075,69796.12282222221,70188.04424814817,69899.23856666667,69147.97873703705,67764.60269259258,61142.48249629629,54388.574870370365,51281.81617777777,48664.76500370372,43694.071074074076,39161.78225925927,19534.950514814816,19201.20037777778,19124.841222222225,19120.1738037037,19202.949288888893,19348.61668888889,20409.81666666667,23039.83716666667,28369.16984814815,31967.739937037033,33859.869259259256,34744.2527962963,35182.865718518515,35643.625129629625,35798.35858888889,35637.51278518519,35170.24947777778,34185.81678148148,30840.6457925926,27651.397151851856,26105.24499259259,24758.640670370372,22314.64395185185,20186.099122222226,18476.35768148148,18234.32941851852,18206.558618518517,18201.40715925926,18328.78030740741,18376.756218518516,19142.255018518517,20710.89380740741,25530.29737037037,29897.082811111115,31976.24532222222,33115.16788148149,33475.58614814815,34152.49779259259,34389.68551851852,34261.72567777778,33977.72915555556,33578.7857037037,30301.836703703702,26737.177785185184,25176.570881481486,23906.124251851852,21379.426948148146,18975.683574074075,52996.14510046297,27141.60490555556,25854.54007314815,11680,37.50017696,127.0660914
11680630,26295.381192592595,25860.94037407408,25537.328748148153,25331.798533333334,25189.86034074074,25185.077403703704,25672.145462962955,27442.35145555556,30856.929374074083,34984.531959259264,37499.81812962963,40492.34266296296,41970.176785185184,42913.90629629631,43067.18688518518,42953.08999999999,42686.11014814814,43125.416762962945,41661.853881481475,40028.4498,38173.735588888885,35730.37985555556,30281.091662962972,27206.93726666667,12806.966296296294,12521.958551851849,12330.024114814816,12211.749159259256,12118.958733333333,12086.239414814814,12302.247288888888,13191.418655555557,14520.669803703706,16151.473703703703,17191.218722222224,18738.625492592593,19208.474574074073,19623.30027407407,19794.57828518519,19917.947577777777,19996.128314814814,20400.03286666667,19909.60031111111,19285.048662962963,18494.529637037038,17329.324533333333,14963.866585185184,13380.587399999999,13488.414874074073,13338.981600000001,13207.304244444445,13120.049422222222,13070.901411111112,13098.837614814816,13369.898140740741,14250.932781481482,16336.259414814815,18833.05828888889,20308.599214814814,21753.717188888888,22761.70232592593,23290.605914814816,23272.608774074077,23035.142233333336,22689.981533333328,22725.384070370368,21752.253429629633,20743.40116296296,19679.20551481481,18401.055174074074,15317.225144444445,13826.349707407408,34172.785023765435,16186.457039969135,17986.327882561727,11680,37.50195446,127.0549517
11680640,74348.94373703704,71527.74751481482,69656.34445925927,68643.00789999998,68111.6818037037,68351.51625555554,71323.12574074074,80585.45382962962,102535.05163703706,127155.5858037037,140470.34965925926,150288.31802962962,157501.3308333333,161663.99235925928,162979.66217037037,161180.0596740741,157430.98311111119,151340.3819148148,140163.9662703704,129918.35639259258,119870.88768518518,106515.67670370372,90912.19054814817,79317.67182222223,38579.83208518518,36763.101425925925,35566.32484444444,34893.34026666667,34449.299048148154,34458.83965925926,36311.89194814815,42499.66172962964,53911.12692962963,65639.66634814815,72158.19522592593,76736.52664814817,80058.59642592592,81940.47223703701,82575.17807777777,81942.0672925926,80384.51474444444,77305.5958925926,72080.81028518519,66827.18525555555,61794.06513703703,55269.93242592592,47630.12482962963,41567.01454444444,35769.11125555556,34764.64577037036,34090.01974074075,33749.66692962963,33662.38271481482,33892.67616666667,35011.2335962963,38085.792262962976,48623.92432962963,61515.91932962962,68312.15484814814,73551.79162222221,77442.73435555556,79723.52007407405,80404.48375925927,79237.99210740741,77046.46867407407,74034.78624814816,68083.15573703703,63091.170848148155,58076.822596296304,51245.74393703702,43282.06606296296,37750.6570888889,112991.3452439815,57972.64013780865,55018.70500231482,11680,37.49990167,127.0366999
11680650,47664.3447,47900.06564444444,48005.91421111113,48002.01878148148,48019.574151851855,48396.0674814815,49474.86242592592,51192.33117407407,58216.77187777778,63460.854040740756,65508.143259259254,65758.18045185185,65855.90404444445,66548.87917037038,66732.03513703706,66065.96501851852,64234.121037037046,60674.318859259256,55202.61314814816,51806.66713703704,50556.16428518519,50382.013096296294,49883.39707037038,47343.87712222221,22733.925118518517,22793.677137037033,22777.086159259256,22742.144811111113,22703.98289259259,22823.527033333336,23570.935803703705,24572.450803703705,27543.111774074074,29838.003107407407,30972.545848148147,31062.421618518518,31177.96820740741,31620.908644444447,31650.334314814816,31514.44687407407,30831.05028148148,29264.07594444444,26832.40175925926,25127.399662962962,24406.055614814824,24238.25037407408,24025.976970370368,22633.210866666665,24930.419433333333,25106.388348148146,25228.828007407406,25259.874337037036,25315.59136296296,25572.540248148154,25903.92688518518,26619.880481481487,30673.659840740744,33622.85084814815,34535.59715185185,34695.758666666676,34677.93558888889,34927.96994444444,35081.700851851856,34551.5184037037,33403.0705888889,31410.243485185183,28370.21144814815,26679.2677962963,26150.108622222222,26143.76257037037,25857.419974074073,24710.665766666665,55703.54513858024,26560.662150925928,29142.882943827164,11680,37.49840553,127.0448865
