ID,Neighborhood_ID,Avg,City,Sigungu,Neighborhood_name
156,11320710,17892.8305,서울특별시,도봉구,방학3동
157,11350560,25823.87256,서울특별시,노원구,월계1동
158,11350570,18448.62777,서울특별시,노원구,월계2동
159,11350580,22211.8399,서울특별시,노원구,월계3동
160,11350595,40442.39472,서울특별시,노원구,공릉1동
161,11350600,47450.93538,서울특별시,노원구,공릉2동
162,11350611,27819.29983,서울특별시,노원구,하계1동
163,11350612,16297.41736,서울특별시,노원구,하계2동
164,11350619,19693.84837,서울특별시,노원구,중계본동
165,11350621,22184.23168,서울특별시,노원구,중계1동
166,11350624,17482.19582,서울특별시,노원구,중계4동
167,11350625,34368.84409,서울특별시,노원구,중계23동
168,11350630,35195.90062,서울특별시,노원구,상계1동
169,11350640,33186.57599,서울특별시,노원구,상계2동
170,11350665,17885.63784,서울특별시,노원구,상계3.4동
171,11350670,19474.75158,서울특별시,노원구,상계5동
172,11350695,45163.72951,서울특별시,노원구,상계6.7동
173,11350700,13128.70214,서울특별시,노원구,상계8동
174,11350710,14974.84658,서울특별시,노원구,상계9동
175,11350720,17679.29267,서울특별시,노원구,상계10동
176,11380510,29192.80461,서울특별시,은평구,녹번동
177,11380520,33744.2827,서울특별시,은평구,불광1동
178,11380530,19472.0987,서울특별시,은평구,불광2동
179,11380551,26310.36318,서울특별시,은평구,갈현1동
180,11380552,20844.32039,서울특별시,은평구,갈현2동
181,11380560,23639.46633,서울특별시,은평구,구산동
182,11380570,31633.48374,서울특별시,은평구,대조동
183,11380580,21334.55628,서울특별시,은평구,응암1동
184,11380590,13695.0768,서울특별시,은평구,응암2동
185,11380600,21247.61107,서울특별시,은평구,응암3동
186,11380625,37322.35337,서울특별시,은평구,역촌동
187,11380631,21480.06145,서울특별시,은평구,신사1동
188,11380632,14311.06061,서울특별시,은평구,신사2동
189,11380640,10676.65773,서울특별시,은평구,증산동
190,11380650,10655.14192,서울특별시,은평구,수색동
191,11380690,59744.77304,서울특별시,은평구,진관동
192,11410520,17629.88109,서울특별시,서대문구,천연동
193,11410555,38374.2614,서울특별시,서대문구,북아현동
194,11410565,51208.2877,서울특별시,서대문구,충현동
195,11410585,81745.15786,서울특별시,서대문구,신촌동
196,11410615,39010.78555,서울특별시,서대문구,연희동
197,11410620,23344.5923,서울특별시,서대문구,홍1동
198,11410640,16263.71558,서울특별시,서대문구,홍3동
199,11410655,6829.922843,서울특별시,서대문구,홍2동
200,11410660,11270.81554,서울특별시,서대문구,홍은1동
201,11410685,25185.67861,서울특별시,서대문구,홍은2동
202,11410690,13824.21635,서울특별시,서대문구,남가좌1동
203,11410700,19203.20237,서울특별시,서대문구,남가좌2동
204,11410710,12222.51625,서울특별시,서대문구,북가좌1동
205,11410720,31455.25938,서울특별시,서대문구,북가좌2동
206,11440555,27799.4036,서울특별시,마포구,아현동
207,11440565,37411.35746,서울특별시,마포구,공덕동
208,11440585,22150.98518,서울특별시,마포구,도화동
209,11440590,26228.31326,서울특별시,마포구,용강동
210,11440600,29661.59204,서울특별시,마포구,대흥동
211,11440610,12877.21674,서울특별시,마포구,염리동
212,11440630,17073.66302,서울특별시,마포구,신수동
213,11440655,29345.63115,서울특별시,마포구,서강동
214,11440660,96792.17238,서울특별시,마포구,서교동
