line,station,year,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off),X(WGS),Y(WGS)
2호선,봉천,2019.0,93.33333333333333,4.333333333333333,14802.333333333334,2026.0,27177.0,11543.666666666666,80475.0,12651.666666666666,116676.66666666667,27157.666666666668,72796.66666666667,23578.0,41600.666666666664,22457.666666666668,35084.0,24276.0,38597.333333333336,25606.333333333332,39537.666666666664,28175.666666666668,33744.0,30672.666666666668,32566.333333333332,37961.666666666664,35018.333333333336,42775.666666666664,38060.0,53245.333333333336,39450.0,78141.33333333333,24832.0,76623.66666666667,18745.0,47846.333333333336,17467.666666666668,47353.0,13714.333333333334,45686.666666666664,6088.333333333333,29172.333333333332,1062.0,9095.333333333334,9.666666666666666,427.0,0.0,0.0,0.0,0.0,676478.0,729524.0,37.482362,126.941892
2호선,사당,2019.0,87.66666666666667,5.666666666666667,13603.0,3508.0,23842.0,30090.666666666668,75125.66666666667,49471.666666666664,101428.66666666667,77399.66666666667,77311.33333333333,61926.0,51282.666666666664,48674.0,49641.666666666664,59363.0,57198.0,61361.666666666664,65241.666666666664,59004.666666666664,69502.0,59347.666666666664,68562.66666666667,68334.0,69837.0,89466.0,80634.0,120331.33333333333,104100.66666666667,177976.66666666666,77691.33333333333,146310.0,70755.0,81736.0,81357.66666666667,77105.33333333333,80779.66666666667,75660.66666666667,47563.333333333336,49145.333333333336,8591.333333333334,15435.0,65.66666666666667,1107.6666666666667,0.0,6.666666666666667,0.0,0.0,1412767.3333333333,1276134.0,37.476530000000004,126.98168499999998
2호선,상왕십리,2019.0,30.333333333333332,2.0,5825.666666666667,720.3333333333334,12268.0,5524.333333333333,36794.0,10853.666666666666,62807.0,38668.333333333336,33836.666666666664,21125.333333333332,22295.0,14563.666666666666,21504.0,13074.0,22009.333333333332,14624.333333333334,22050.0,17016.333333333332,19752.333333333332,17758.333333333332,20039.333333333332,19739.333333333332,21802.333333333332,22824.0,25525.333333333332,29580.666666666668,32214.666666666668,46605.666666666664,21140.0,37756.333333333336,13888.0,24418.666666666668,13019.0,23162.333333333332,9457.0,23574.0,3926.3333333333335,15753.0,573.0,5417.0,4.333333333333333,98.0,0.3333333333333333,0.0,0.0,0.0,402859.6666666667,422750.6666666667,37.564353999999994,127.029354
2호선,서초,2019.0,6.0,1.0,1426.6666666666667,5553.0,8318.0,18954.333333333332,15315.333333333334,47853.333333333336,23778.666666666668,127888.0,25808.333333333332,100124.0,20610.666666666668,47173.666666666664,29949.666666666668,40308.666666666664,27737.0,30471.333333333332,38377.666666666664,32699.666666666668,38029.333333333336,33013.666666666664,42462.0,25563.666666666668,50769.0,26984.333333333332,65195.333333333336,27694.333333333332,111983.33333333333,30949.333333333332,55078.0,23191.666666666668,34664.666666666664,12614.666666666666,38031.0,11401.666666666666,26177.0,11198.666666666666,8721.666666666666,6811.0,1168.3333333333333,1973.3333333333333,4.0,42.666666666666664,0.6666666666666666,0.3333333333333333,0.0,0.0,662466.3333333334,665625.3333333334,37.491896999999994,127.00791699999998
2호선,선릉,2019.0,119.66666666666667,3.0,5816.0,6070.666666666667,12008.666666666666,35621.333333333336,22962.666666666668,102825.66666666667,37252.333333333336,293480.0,37208.0,216696.66666666666,37863.666666666664,97831.66666666667,50178.0,67966.33333333333,59110.666666666664,62452.0,72561.33333333333,74125.33333333333,80296.33333333333,63584.333333333336,99814.0,55312.333333333336,135275.0,54051.0,159284.33333333334,58472.333333333336,292170.0,67877.33333333333,160397.0,48434.666666666664,100457.66666666667,27833.0,101627.66666666667,23813.333333333332,85144.33333333333,21660.0,34074.666666666664,13356.666666666666,5610.666666666667,6167.666666666667,12.0,323.0,0.6666666666666666,4.333333333333333,0.0,0.3333333333333333,1397963.0,1591144.6666666667,37.504503,127.04900799999997
2호선,성수,2019.0,83.66666666666667,14.0,5550.0,3953.3333333333335,10354.0,25438.666666666668,25005.333333333332,61514.333333333336,34519.666666666664,255166.33333333334,27203.0,95669.33333333333,23560.333333333332,40005.0,24943.0,32138.666666666668,27992.333333333332,31644.333333333332,32417.333333333332,34898.666666666664,36284.666666666664,34739.333333333336,39617.0,35646.666666666664,45882.333333333336,35974.666666666664,78274.66666666667,40674.666666666664,186951.0,49064.333333333336,86314.66666666667,37791.0,47378.0,21913.0,44701.666666666664,19600.333333333332,33361.0,17332.666666666668,14885.333333333334,12177.0,2124.3333333333335,6812.333333333333,12.333333333333334,1041.0,0.3333333333333333,7.0,0.0,0.0,893216.6666666666,829351.3333333334,37.544581,127.05596100000001
2호선,시청,2019.0,79.33333333333333,3.0,1235.3333333333333,1713.6666666666667,2252.6666666666665,15507.333333333334,5575.0,61983.0,8690.666666666666,227832.0,12395.666666666666,85805.66666666667,18499.666666666668,30473.666666666668,24946.0,29252.333333333332,25576.666666666668,28247.0,31144.333333333332,33180.333333333336,36814.666666666664,29973.333333333332,42445.0,26505.333333333332,47215.666666666664,23264.333333333332,77058.0,23632.333333333332,179565.66666666666,24488.0,71686.66666666667,14960.333333333334,48533.666666666664,8560.666666666666,44867.333333333336,8132.333333333333,30126.333333333332,7755.333333333333,12593.666666666666,5219.0,1685.6666666666667,1663.6666666666667,3.3333333333333335,111.66666666666667,1.0,1.6666666666666667,0.0,0.0,688266.0,724931.6666666666,37.56471799999999,126.97710800000003
2호선,신답,2019.0,3.0,0.0,850.0,95.0,1740.6666666666667,550.3333333333334,6547.666666666667,981.3333333333334,10202.333333333334,1907.0,4009.3333333333335,1183.3333333333333,2456.3333333333335,1337.3333333333333,2211.6666666666665,1425.6666666666667,2324.6666666666665,1552.0,2315.3333333333335,1734.6666666666667,2002.3333333333333,1938.0,1897.0,2609.6666666666665,2044.0,3348.3333333333335,2107.0,3707.6666666666665,2267.6666666666665,8329.333333333334,1376.6666666666667,7405.0,805.3333333333334,3543.6666666666665,627.3333333333334,3860.6666666666665,499.0,3055.3333333333335,177.0,2229.3333333333335,34.333333333333336,584.6666666666666,0.6666666666666666,7.333333333333333,0.0,0.0,0.0,0.0,51385.666666666664,48515.333333333336,37.570040000000006,127.04648100000001
2호선,신당,2019.0,41.0,1.3333333333333333,6144.333333333333,1154.0,11173.333333333334,8528.0,27118.333333333332,16478.666666666668,44549.333333333336,39541.0,27745.0,26422.0,20594.333333333332,20493.333333333332,20633.333333333332,21530.333333333332,23071.0,22537.666666666668,25135.0,24826.333333333332,25620.333333333332,25708.0,26173.0,26313.333333333332,29197.666666666668,28614.333333333332,33872.333333333336,33942.0,39357.0,45178.0,25729.333333333332,36520.333333333336,18359.666666666668,22722.333333333332,16755.666666666668,21114.0,12412.0,20816.333333333332,7149.666666666667,13908.0,1118.6666666666667,4788.0,14.333333333333334,145.33333333333334,0.0,0.0,0.0,0.0,461282.6666666667,443942.6666666667,37.565971999999995,127.01782000000001
2호선,신대방,2019.0,138.0,5.333333333333333,23479.333333333332,2285.6666666666665,35968.0,10090.666666666666,94589.66666666667,18168.0,133280.33333333334,36589.333333333336,88157.33333333333,24827.0,51322.0,22307.0,42417.333333333336,22867.333333333332,42976.666666666664,24507.333333333332,41885.0,28926.0,36633.333333333336,32164.333333333332,34169.666666666664,41966.333333333336,36967.666666666664,48020.333333333336,39357.0,62748.666666666664,48865.666666666664,88884.0,29807.0,90159.0,21597.666666666668,60399.333333333336,17332.666666666668,64870.333333333336,12718.333333333334,67877.66666666667,6680.333333333333,41492.333333333336,1198.0,11571.0,7.333333333333333,462.6666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,801190.0,841429.6666666666,37.487462,126.91314900000002
