line,station,year,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
5호선,거여,2018.0,1.0,0.0,4705.5,448.5833333333333,9918.083333333334,3594.8333333333335,32552.666666666668,6815.416666666667,28283.25,16735.666666666668,16540.0,8592.25,12235.333333333334,5906.833333333333,10651.583333333334,5807.583333333333,11521.75,7086.75,10845.416666666666,8146.5,9430.0,8324.333333333334,9325.916666666666,10392.916666666666,10819.916666666666,13813.75,12211.916666666666,15448.083333333334,13452.083333333334,20358.916666666668,6832.0,21329.166666666668,4897.333333333333,12678.833333333334,4663.333333333333,11568.416666666666,2984.5,12046.583333333334,1083.0833333333333,7395.75,164.75,2964.6666666666665,1.1666666666666667,13.75,0.0,0.0,0.0,0.0,199469.58333333334,215137.58333333334
5호선,고덕,2018.0,0.75,0.0,4050.4166666666665,1481.75,13370.333333333334,6731.25,35800.5,14945.916666666666,31804.166666666668,17260.833333333332,18026.5,14029.416666666666,15493.583333333334,11441.833333333334,16022.0,10956.5,18155.75,10990.083333333334,15320.666666666666,13440.333333333334,14811.083333333334,13267.5,16989.75,13451.0,21469.5,15450.75,21618.5,18315.666666666668,17193.75,29358.916666666668,9652.0,30193.916666666668,7661.166666666667,17508.166666666668,6788.916666666667,15085.583333333334,6106.833333333333,15461.583333333334,2253.0,9879.0,265.5833333333333,3257.4166666666665,1.0833333333333333,345.5,0.0,3.6666666666666665,0.0,0.0,282856.5833333333,294873.0833333333
5호선,공덕,2018.0,10.75,0.3333333333333333,2290.75,954.75,5753.25,7472.416666666667,20377.916666666668,29252.166666666668,30359.25,86839.91666666667,15365.5,39194.25,12950.916666666666,17570.666666666668,14967.833333333334,17015.916666666668,16965.0,15683.833333333334,19174.333333333332,17135.916666666668,18813.583333333332,15539.916666666666,19556.5,15975.666666666666,23888.333333333332,18210.416666666668,33111.666666666664,24586.25,69662.58333333333,45498.0,30133.166666666668,29186.5,21368.583333333332,15580.083333333334,22558.083333333332,13702.75,18375.083333333332,12602.666666666666,9013.0,8400.166666666666,1263.5833333333333,2368.8333333333335,3.0,17.5,0.08333333333333333,1.5,0.0,0.0,432790.4166666667,407970.0
5호선,광나루(장신대),2018.0,4.25,0.25,4920.333333333333,1826.0,15292.333333333334,8850.416666666666,43407.583333333336,17281.0,54123.833333333336,38504.333333333336,31350.333333333332,22997.833333333332,21607.75,18464.166666666668,20967.166666666668,15783.75,22174.416666666668,16947.0,22819.25,18529.166666666668,21460.5,17533.083333333332,22810.416666666668,18921.583333333332,25799.75,22878.916666666668,28909.0,27780.5,35654.083333333336,39818.25,19361.0,33648.0,14060.333333333334,21461.25,15026.333333333334,19755.416666666668,12298.166666666666,19702.75,4306.75,12251.166666666666,583.5833333333334,3136.5,2.3333333333333335,12.166666666666666,0.08333333333333333,0.16666666666666666,0.0,0.0,396083.6666666667,438953.3333333333
5호선,광화문(세종문화회관),2018.0,12.5,2.0833333333333335,1369.9166666666667,996.5,3773.5,28193.5,10883.166666666666,97840.66666666667,16394.666666666668,305697.4166666667,15611.5,120873.33333333333,17541.416666666668,58401.083333333336,26799.416666666668,57977.666666666664,32034.916666666668,54121.333333333336,44113.583333333336,61121.5,51527.5,52537.333333333336,62769.166666666664,44481.416666666664,75624.91666666667,42981.083333333336,114955.41666666667,48240.083333333336,244325.83333333334,61867.583333333336,107901.16666666667,38291.583333333336,76964.66666666667,15078.75,85010.5,10811.75,59721.75,8323.166666666666,22115.583333333332,4884.5,2977.4166666666665,1410.4166666666667,43.25,8.25,0.0,0.0,0.0,0.0,1114141.0,1074477.25
5호선,군자(능동),2018.0,47.416666666666664,2.75,7257.416666666667,873.3333333333334,11618.25,6742.333333333333,35186.333333333336,9180.083333333334,52287.083333333336,24286.166666666668,22870.333333333332,17783.833333333332,14759.583333333334,12326.583333333334,13157.333333333334,11900.25,14438.166666666666,13227.666666666666,15258.583333333334,15159.083333333334,13756.583333333334,16340.5,13495.916666666666,18647.75,15422.75,22671.0,19130.833333333332,30872.333333333332,24706.25,49572.5,16129.083333333334,42516.0,12524.0,24190.916666666668,12827.0,22121.0,11320.5,21740.5,5820.0,14925.416666666666,992.4166666666666,6886.416666666667,10.0,1448.6666666666667,0.0,9.166666666666666,0.0,0.0,383424.25,334986.4166666667
5호선,굽은다리(강동구민회관앞),2018.0,1.1666666666666667,0.08333333333333333,6005.5,611.75,14152.916666666666,3138.6666666666665,40865.166666666664,6570.25,42650.25,14208.416666666666,23168.25,10631.666666666666,16421.5,8973.333333333334,15102.666666666666,8942.333333333334,16650.25,10684.916666666666,16191.25,12168.583333333334,13794.583333333334,12670.583333333334,13432.416666666666,14906.916666666666,14205.0,18365.416666666668,15878.25,22453.25,17108.833333333332,32137.833333333332,9889.25,34777.666666666664,7610.0,18750.166666666668,8102.416666666667,17997.0,6876.583333333333,18751.083333333332,1875.0833333333333,11986.5,316.4166666666667,4038.75,1.6666666666666667,27.75,0.0,3.75,0.0,0.0,282796.6666666667,302316.25
5호선,길동,2018.0,5.25,0.0,4843.25,546.4166666666666,9610.0,3546.8333333333335,26447.083333333332,5476.166666666667,30695.583333333332,16065.166666666666,16441.166666666668,11792.666666666666,12906.75,9467.25,12181.833333333334,8710.416666666666,12828.083333333334,9871.416666666666,13223.083333333334,10533.666666666666,12125.0,11518.583333333334,11203.166666666666,13470.083333333334,11919.666666666666,16135.833333333334,13576.583333333334,19270.416666666668,16436.5,27769.333333333332,9060.916666666666,27622.25,6994.166666666667,15447.5,5856.416666666667,13217.166666666666,4525.75,11482.416666666666,1808.9166666666667,8043.25,235.75,2890.0,1.0,9.583333333333334,0.0,1.3333333333333333,0.0,0.0,242887.75,234938.66666666666
5호선,김포공항,2018.0,4.416666666666667,1.5,539.0,2592.5,2454.4166666666665,8661.583333333334,8330.666666666666,14009.75,9618.333333333334,16154.916666666666,8827.583333333334,11938.916666666666,7614.083333333333,12082.833333333334,9918.166666666666,14470.166666666666,10789.25,15900.333333333334,13155.916666666666,16240.75,15313.916666666666,15704.083333333334,18092.0,14728.666666666666,17652.666666666668,15589.333333333334,22334.5,16061.583333333334,29536.666666666668,16768.0,21593.666666666668,11586.083333333334,17379.0,5623.25,15743.0,3561.75,14331.833333333334,2317.3333333333335,4841.75,1135.0833333333333,352.5,468.5833333333333,1.5833333333333333,7.416666666666667,0.0,0.75,0.0,0.0,215605.16666666666,250438.5
5호선,까치산,2018.0,116.25,2.3333333333333335,25505.25,1368.0833333333333,44735.416666666664,10371.666666666666,142944.83333333334,12381.583333333334,167887.58333333334,23886.5,82603.41666666667,21876.166666666668,52262.166666666664,20454.0,46181.166666666664,21456.416666666668,47027.833333333336,25480.166666666668,43719.25,29702.5,36771.0,34472.666666666664,33675.166666666664,44682.583333333336,36029.5,56081.416666666664,37510.916666666664,69331.5,37793.333333333336,115104.16666666667,25642.083333333332,116372.5,18726.333333333332,74939.5,15874.083333333334,69189.66666666667,12951.916666666666,64349.083333333336,6580.916666666667,42561.083333333336,1024.0,12274.083333333334,10.833333333333334,507.5833333333333,0.0,1.0833333333333333,0.0,0.0,866846.3333333334,917475.0
